"course_code","course_name","course_level","faculty","school","units","duration","class_hours","incompatible","prerequisite","recommended_prerequisite","assessment_methods"
"METR4202","Robotics and Automation","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Applied Class 2 Hours/ Week; Practical 2 Hours/ Week","METR4200 or METR7201 or METR7202 or ELEC3700 or ELEC7700","(ENGG1001 or CSSE1001) and (ELEC3004 or METR3200 or METR4201)",NA,"Examinations, Project Assignments, Laboratory Exercises"
"METR6203","Control Engineering 2","Undergraduate","Engineering, Architecture & Information Technology","Mech & Mine Engineering School","2","One Semester","Workshop 3 Hours/ Week; Practical 2 Hours/ Week","METR7203","METR4201 or METR7200",NA,"Presentation, Report and End of Semester Examination"
"COMP2140","Web/Mobile Programming","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Contact 3 Hours/ Week",NA,"DECO1400 and (CSSE1001 or ENGG1001)",NA,"Assignments, projects, and online problems."
"COMP3301","Operating Systems Architecture","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Tutorial 1 Hour/ Week; IT Computing 2 Hours/ Week","COMP3300 or COMP7303 or COMP7308","COMP2303 or CSSE2310",NA,"Assignments, Examination"
"COMP3702","Artificial Intelligence","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Applied Class 2 Hours/ Week","COMP3701 or COMP7701 or COMP7702","(CSSE1001 or CSSE7030) or ENGG1001","(MATH1061 or MATH1081 or MATH7861) and CSSE2002","Written examination, assignments and tutorials."
"COMP3710","Pattern Recognition and Analysis","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Applied Class 1 Hour/ Week; Lecture 1 Hour/ Week; Practical 3 Hours/ Week",NA,"(MATH1051 or MATH1071) and (CSSE1001 or ENGG1001)","(MATH1052 or MATH1072) and (MATH1061 or MATH1081) and COMP3506","Demonstration, Lab Report, Final Exam"
"COMS3200","Computer Networks I","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Tutorial 2 Hours/ Week","COMS7201","COMP2303 OR CSSE2310",NA,"Exam & assignments"
"COSC3500","High-Performance Computing","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science, Mathematics & Physics School","2","One Semester","Lecture 2 Hours/ Week; Applied Class 2 Hours/ Week","COSC7502","COSC2500 or CSSE2002 or CSSE2010 or CSSE2310 or PHYS3071 or MATH2504",NA,"Assignments, case studies, project, labs"
"CSSE3012","The Software Process","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Tutorial 2 Hours/ Week","COMP3500 or COMP7503 or CSSE3002 or CSSE7001","((COMP2140 or CSSE2002) and (DECO2500 or DECO2800 or DECO2850)) or CSSE3200",NA,"Assignments, presentation, examinations"
"CSSE3100","Reasoning About Programs","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Contact 2 Hours/ Week","CSSE7100","(MATH1061 or MATH1081) and CSSE2002",NA,"Assignments, examination"
